timestamp,transaction_id,source_ip,source_port,function_code,function_name,action,reason,unit_id,data_length
2026-01-03T10:26:15.442413,1,127.0.0.1,65248,5,WRITE_SINGLE_COIL,BLOCK,WRITE_SINGLE_COIL (FC:0x05) is blocked by security policy,1,4
2026-01-03T10:26:27.418879,2,127.0.0.1,65254,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2026-01-03T10:26:29.365519,3,127.0.0.1,65256,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2026-01-03T10:26:31.445999,4,127.0.0.1,65258,3,READ_HOLDING_REGISTERS,ALLOW,READ_HOLDING_REGISTERS is whitelisted,1,4
2026-01-03T10:26:33.482985,5,127.0.0.1,65260,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2026-01-03T10:26:36.872369,6,127.0.0.1,65262,5,WRITE_SINGLE_COIL,BLOCK,WRITE_SINGLE_COIL (FC:0x05) is blocked by security policy,1,4
2026-01-03T10:26:38.878333,7,127.0.0.1,65264,6,WRITE_SINGLE_REGISTER,ALLOW,WRITE_SINGLE_REGISTER is whitelisted,1,4
2026-01-03T10:26:40.827218,8,127.0.0.1,65266,16,WRITE_MULTIPLE_REGISTERS,ALLOW,WRITE_MULTIPLE_REGISTERS is whitelisted,1,11
2026-01-03T10:27:14.819670,1,127.0.0.1,65269,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2026-01-03T10:27:17.016025,2,127.0.0.1,65271,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2026-01-03T10:27:19.124068,3,127.0.0.1,65273,3,READ_HOLDING_REGISTERS,ALLOW,READ_HOLDING_REGISTERS is whitelisted,1,4
2026-01-03T10:27:21.279689,4,127.0.0.1,65276,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2026-01-03T10:30:23.755140,1,127.0.0.1,52224,1,READ_COILS,ALLOW,READ_COILS is whitelisted,1,4
2026-01-03T10:30:26.938291,2,127.0.0.1,52226,2,READ_DISCRETE_INPUTS,ALLOW,READ_DISCRETE_INPUTS is whitelisted,1,4
2026-01-03T10:30:29.721275,3,127.0.0.1,52228,3,READ_HOLDING_REGISTERS,ALLOW,READ_HOLDING_REGISTERS is whitelisted,1,4
2026-01-03T10:30:39.123149,4,127.0.0.1,57605,4,READ_INPUT_REGISTERS,ALLOW,READ_INPUT_REGISTERS is whitelisted,1,4
2026-01-03T10:33:59.863415,1,127.0.0.1,55658,1,READ_COILS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:34:02.297306,2,127.0.0.1,55660,2,READ_DISCRETE_INPUTS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:34:04.773276,3,127.0.0.1,55662,3,READ_HOLDING_REGISTERS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:34:08.100869,4,127.0.0.1,55664,4,READ_INPUT_REGISTERS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:38:49.700235,1,127.0.0.1,63184,1,READ_COILS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:39:01.284737,2,127.0.0.1,63186,2,READ_DISCRETE_INPUTS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:39:03.642898,3,127.0.0.1,63188,3,READ_HOLDING_REGISTERS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:39:05.732686,4,127.0.0.1,63190,4,READ_INPUT_REGISTERS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:42:40.983213,53237,127.0.0.1,65339,1,READ_COILS,ALLOW,Bypass mode enabled,1,4
2026-01-03T10:42:41.517193,64733,127.0.0.1,65339,2,READ_DISCRETE_INPUTS,ALLOW,Bypass mode enabled,1,4
